# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2M of event 'cycles:P'
# Event count (approx.): 2425279124613
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ....................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  GWA              [kernel.kallsyms]     [k] inode_permission
     0.00%  GWA              libCling.so           [.] clang::ASTReader::getGlobalIdentifierID(clang::serialization::ModuleFile&, unsigned int)
     0.00%  sed              [kernel.kallsyms]     [k] filemap_map_pages
     0.00%  GWA              [kernel.kallsyms]     [k] get_partial_node.part.0
     0.00%  sed              [kernel.kallsyms]     [k] vma_modify
     0.00%  sh               [kernel.kallsyms]     [k] __update_load_avg_se
     0.00%  GWA              [kernel.kallsyms]     [k] active_retire
     0.00%  ls               [kernel.kallsyms]     [k] filemap_map_pages
     0.00%  GWA              [kernel.kallsyms]     [k] lru_add_fn
     0.00%  GWA              libCling.so           [.] clang::ASTReader::ReadDeclRecord(unsigned int)
     0.00%  GWA              [kernel.kallsyms]     [k] rebalance_domains
     0.00%  GWA              libCling.so           [.] clang::ASTReader::ReadSLocEntry(int) [clone .part.0]
     0.00%  GWA              [kernel.kallsyms]     [k] link_path_walk.part.0.constprop.0
     0.00%  sh               dash                  [.] 0x0000000000013826
     0.00%  GWA              [kernel.kallsyms]     [k] filename_lookup
     0.00%  GWA              [kernel.kallsyms]     [k] strncpy_from_user
     0.00%  GWA              [kernel.kallsyms]     [k] prepend
     0.00%  GWA              libCling.so           [.] llvm::FoldingSetBase::FindNodeOrInsertPos(llvm::FoldingSetNodeID const&, void*&, llvm::FoldingSetBase::FoldingSetInfo const&)
     0.00%  GWA              [kernel.kallsyms]     [k] execlists_dequeue
     0.00%  GWA              libCling.so           [.] llvm::MachineFunctionPass::getAnalysisUsage(llvm::AnalysisUsage&) const
     0.00%  GWA              libCling.so           [.] bool llvm::DenseMapBase<llvm::DenseMap<void const*, llvm::Pass*, llvm::DenseMapInfo<void const*>, llvm::detail::DenseMapPair<void const*, llvm::Pass*> >, void const*, llvm::Pass*, llvm::DenseMapInfo<void const*>, llvm::detail::DenseMapPair<void const*, llvm::Pass*> >::LookupBucketFor<void const*>(void const* const&, llvm::detail::DenseMapPair<void const*, llvm::Pass*> const*&) const
     0.00%  GWA              libCling.so           [.] clang::ASTReader::readTypeRecord(unsigned int)
     0.00%  GWA              libCling.so           [.] llvm::InstCombinerImpl::run()
     0.00%  GWA              libCling.so           [.] llvm::PMTopLevelManager::findAnalysisUsage(llvm::Pass*)
     0.00%  GWA              libCling.so           [.] llvm::sys::path::append(llvm::SmallVectorImpl<char>&, llvm::sys::path::Style, llvm::Twine const&, llvm::Twine const&, llvm::Twine const&, llvm::Twine const&)
     0.00%  GWA              libCling.so           [.] llvm::PMDataManager::initializeAnalysisImpl(llvm::Pass*)
     0.00%  GWA              libCling.so           [.] llvm::LivePhysRegs::removeReg(unsigned short)
     0.00%  GWA              libCling.so           [.] llvm::PassRegistry::enumerateWith(llvm::PassRegistrationListener*)
     0.00%  GWA              libCling.so           [.] clang::TypeLoc::getFullDataSizeForType(clang::QualType)
     0.00%  GWA              [kernel.kallsyms]     [k] get_pfnblock_flags_mask
     0.00%  GWA              libCling.so           [.] clang::ASTReader::getGlobalSubmoduleID(clang::serialization::ModuleFile&, unsigned int)
     0.00%  sh               dash                  [.] 0x00000000000090d4
     0.00%  GWA              libCling.so           [.] llvm::PMDataManager::removeNotPreservedAnalysis(llvm::Pass*)
     0.00%  GWA              libCling.so           [.] llvm::PMTopLevelManager::findAnalysisPassInfo(void const*) const
     0.00%  GWA              libCling.so           [.] clang::ASTDeclReader::readSourceLocation() [clone .isra.0]
     0.00%  GWA              [kernel.kallsyms]     [k] security_capable
     0.00%  ls               ld-linux-x86-64.so.2  [.] do_lookup_x
     0.00%  GWA              [kernel.kallsyms]     [k] should_we_balance
     0.00%  GWA              [kernel.kallsyms]     [k] __wake_up_common
     0.00%  GWA              libCling.so           [.] clang::TypeLocVisitor<(anonymous namespace)::NextLoc, clang::TypeLoc>::Visit(clang::TypeLoc) [clone .constprop.0]
     0.00%  GWA              [kernel.kallsyms]     [k] prepare_transfer
     0.00%  GWA              GWA                   [.] std::__detail::_Executor<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::regex_traits<char>, true>::_M_dfs(std::__detail::_Executor<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::__cxx11::sub_match<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::regex_traits<char>, true>::_Match_mode, long)
     0.00%  GWA              [kernel.kallsyms]     [k] _nv047756rm
     0.00%  GWA              [kernel.kallsyms]     [k] run_rebalance_domains
     0.00%  GWA              libz.so.1.3           [.] 0x00000000000025d8
     0.00%  GWA              GWA                   [.] observable::setFitParams(std::vector<double, std::allocator<double> >)
     0.00%  GWA              [unknown]             [.] 0000000000000000
     0.00%  GWA              [kernel.kallsyms]     [k] hidinput_hid_event
     0.00%  GWA              [kernel.kallsyms]     [k] early_xen_iret_patch
     0.00%  GWA              [kernel.kallsyms]     [k] raise_softirq
     0.00%  GWA              [kernel.kallsyms]     [k] input_event
     0.00%  GWA              libCling.so           [.] llvm::sys::path::remove_dots(llvm::SmallVectorImpl<char>&, bool, llvm::sys::path::Style)
     0.00%  GWA              [kernel.kallsyms]     [k] do_nocb_deferred_wakeup.isra.0
     0.00%  GWA              [kernel.kallsyms]     [k] enqueue_entity
     0.00%  GWA              libMinuit2.so         [.] ROOT::Minuit2::Mndspmv(char const*, unsigned int, double, double const*, double const*, int, double, double*, int)
     0.00%  GWA              [kernel.kallsyms]     [k] sched_clock_noinstr
     0.00%  GWA              [kernel.kallsyms]     [k] prepend_path
     0.00%  GWA              [kernel.kallsyms]     [k] irq_chip_ack_parent
     0.00%  GWA              GWA                   [.] exp@plt
     0.00%  GWA              [kernel.kallsyms]     [k] alloc_anon_folio
     0.00%  GWA              [kernel.kallsyms]     [k] __run_timers
     0.00%  GWA              libCling.so           [.] (anonymous namespace)::CXXNameMangler::mangleUnqualifiedName(clang::GlobalDecl, clang::DeclarationName, unsigned int, llvm::SmallVector<llvm::StringRef, 4u> const*) [clone .constprop.0]
     0.00%  GWA              [kernel.kallsyms]     [k] schedule_debug.isra.0
     0.00%  GWA              [kernel.kallsyms]     [k] psi_task_change
     0.00%  GWA              [kernel.kallsyms]     [k] prepare_task_switch
     0.00%  GWA              libCling.so           [.] TCling::InspectMembers(TMemberInspector&, void const*, TClass const*, bool)
     0.00%  GWA              [kernel.kallsyms]     [k] tasklet_action_common.isra.0
     0.00%  GWA              [kernel.kallsyms]     [k] __schedule
     0.00%  ldd              [unknown]             [.] 0000000000000000
     0.00%  GWA              [kernel.kallsyms]     [k] update_blocked_averages
     0.00%  GWA              [kernel.kallsyms]     [k] __handle_irq_event_percpu
     0.00%  GWA              libCling.so           [.] clang::Module::~Module()
     0.00%  GWA              [kernel.kallsyms]     [k] __lruvec_stat_mod_folio
     0.00%  GWA              [kernel.kallsyms]     [k] ttwu_do_activate
     0.00%  GWA              [kernel.kallsyms]     [k] security_inode_getattr
     0.00%  GWA              [kernel.kallsyms]     [k] mem_cgroup_handle_over_high
     0.00%  GWA              [kernel.kallsyms]     [k] iwl_write32
     0.00%  GWA              [kernel.kallsyms]     [k] up_read
     0.00%  GWA              [kernel.kallsyms]     [k] try_to_wake_up
     0.00%  GWA              [kernel.kallsyms]     [k] get_vma_policy
     0.00%  GWA              [kernel.kallsyms]     [k] folio_batch_move_lru
     0.00%  GWA              libz.so.1.3           [.] 0x00000000000025bc
     0.00%  GWA              libCling.so           [.] clang::TypeLocVisitor<(anonymous namespace)::TypeAligner, unsigned int>::Visit(clang::TypeLoc) [clone .constprop.0]
     0.00%  GWA              [kernel.kallsyms]     [k] mas_next_slot
     0.00%  GWA              libCling.so           [.] clang::ASTContext::getTemplateTypeParmType(unsigned int, unsigned int, bool, clang::TemplateTypeParmDecl*) const
     0.00%  GWA              [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.00%  GWA              [kernel.kallsyms]     [k] __virt_addr_valid
     0.00%  GWA              libCling.so           [.] bool llvm::DenseMapBase<llvm::DenseMap<clang::DeclContext const*, std::pair<clang::serialization::ModuleFile*, llvm::ArrayRef<llvm::support::detail::packed_endian_specific_integral<unsigned int, (llvm::support::endianness)2, 1ul, 1ul> > >, llvm::DenseMapInfo<clang::DeclContext const*>, llvm::detail::DenseMapPair<clang::DeclContext const*, std::pair<clang::serialization::ModuleFile*, llvm::ArrayRef<llvm::support::detail::packed_endian_specific_integral<unsigned int, (llvm::support::endianness)2, 1ul, 1ul> > > > >, clang::DeclContext const*, std::pair<clang::serialization::ModuleFile*, llvm::ArrayRef<llvm::support::detail::packed_endian_specific_integral<unsigned int, (llvm::support::endianness)2, 1ul, 1ul> > >, llvm::DenseMapInfo<clang::DeclContext const*>, llvm::detail::DenseMapPair<clang::DeclContext const*, std::pair<clang::serialization::ModuleFile*, llvm::ArrayRef<llvm::support::detail::packed_endian_specific_integral<unsigned int, (llvm::support::endianness)2, 1ul, 1ul> > > > >::LookupBucketFor<clang::DeclContext const*>(clang::DeclContext const* const&, llvm::detail::DenseMapPair<clang::DeclContext const*, std::pair<clang::serialization::ModuleFile*, llvm::ArrayRef<llvm::support::detail::packed_endian_specific_integral<unsigned int, (llvm::support::endianness)2, 1ul, 1ul> > > > const*&) const
     0.00%  GWA              [kernel.kallsyms]     [k] __alloc_pages
     0.00%  ldd              [kernel.kallsyms]     [k] error_entry
     0.00%  GWA              [kernel.kallsyms]     [k] mem_cgroup_commit_charge
     0.00%  GWA              libCling.so           [.] std::enable_if<llvm::hashing::detail::is_hashable_data<char const>::value, llvm::hash_code>::type llvm::hashing::detail::hash_combine_range_impl<char const>(char const*, char const*)
     0.00%  GWA              [kernel.kallsyms]     [k] blk_cgroup_congested
     0.00%  GWA              libz.so.1.3           [.] 0x000000000000265a
     0.00%  GWA              [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.00%  GWA              libCling.so           [.] llvm::FoldingSet<clang::NestedNameSpecifier>::NodeEquals(llvm::FoldingSetBase const*, llvm::FoldingSetBase::Node*, llvm::FoldingSetNodeID const&, unsigned int, llvm::FoldingSetNodeID&)
     0.00%  GWA              [kernel.kallsyms]     [k] set_root
     0.00%  GWA              libCling.so           [.] bool llvm::DenseMapBase<llvm::SmallDenseMap<clang::DeclarationName, clang::StoredDeclsList, 4u, llvm::DenseMapInfo<clang::DeclarationName>, llvm::detail::DenseMapPair<clang::DeclarationName, clang::StoredDeclsList> >, clang::DeclarationName, clang::StoredDeclsList, llvm::DenseMapInfo<clang::DeclarationName>, llvm::detail::DenseMapPair<clang::DeclarationName, clang::StoredDeclsList> >::LookupBucketFor<clang::DeclarationName>(clang::DeclarationName const&, llvm::detail::DenseMapPair<clang::DeclarationName, clang::StoredDeclsList> const*&) const
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000002da3
     0.00%  GWA              libCling.so           [.] bool llvm::DenseMapBase<llvm::DenseMap<unsigned int, llvm::SmallVector<std::pair<clang::serialization::ModuleFile*, unsigned long>, 2u>, llvm::DenseMapInfo<unsigned int>, llvm::detail::DenseMapPair<unsigned int, llvm::SmallVector<std::pair<clang::serialization::ModuleFile*, unsigned long>, 2u> > >, unsigned int, llvm::SmallVector<std::pair<clang::serialization::ModuleFile*, unsigned long>, 2u>, llvm::DenseMapInfo<unsigned int>, llvm::detail::DenseMapPair<unsigned int, llvm::SmallVector<std::pair<clang::serialization::ModuleFile*, unsigned long>, 2u> > >::LookupBucketFor<unsigned int>(unsigned int const&, llvm::detail::DenseMapPair<unsigned int, llvm::SmallVector<std::pair<clang::serialization::ModuleFile*, unsigned long>, 2u> > const*&) const
     0.00%  ldd              [kernel.kallsyms]     [k] __count_memcg_events
     0.00%  GWA              [kernel.kallsyms]     [k] nd_jump_root
     0.00%  GWA              libCling.so           [.] llvm::BumpPtrAllocatorImpl<llvm::MallocAllocator, 4096ul, 4096ul, 128ul>::Allocate(unsigned long, llvm::Align)
     0.00%  GWA              libCling.so           [.] operator new(unsigned long)@plt
     0.00%  GWA              libCling.so           [.] clang::Decl::getTranslationUnitDecl()
     0.00%  GWA              libCling.so           [.] llvm::Value::getValueName() const
     0.00%  GWA              [kernel.kallsyms]     [k] aa_get_buffer
     0.00%  GWA              [kernel.kallsyms]     [k] get_mem_cgroup_from_mm
     0.00%  GWA              libCling.so           [.] (anonymous namespace)::PeepholeOptimizer::runOnMachineFunction(llvm::MachineFunction&) [clone .part.0]
     0.00%  GWA              [kernel.kallsyms]     [k] _find_next_bit
     0.00%  sh               [kernel.kallsyms]     [k] __irqentry_text_end
     0.00%  GWA              libCling.so           [.] llvm::Pass::getPassName() const
     0.00%  GWA              libCling.so           [.] llvm::PMTopLevelManager::schedulePass(llvm::Pass*)
     0.00%  GWA              libCling.so           [.] (anonymous namespace)::PeepholeOptimizer::optimizeExtInstr(llvm::MachineInstr&, llvm::MachineBasicBlock&, llvm::SmallPtrSetImpl<llvm::MachineInstr*>&)
     0.00%  GWA              libCling.so           [.] clang::ASTReader::DeclCursorForID(unsigned int, clang::SourceLocation&)
     0.00%  GWA              libCling.so           [.] llvm::PMTopLevelManager::collectLastUses(llvm::SmallVectorImpl<llvm::Pass*>&, llvm::Pass*)
     0.00%  GWA              [kernel.kallsyms]     [k] folio_mark_accessed
     0.00%  GWA              libCling.so           [.] clang::ASTReader::FindExternalLexicalDecls(clang::DeclContext const*, llvm::function_ref<bool (clang::Decl::Kind)>, llvm::SmallVectorImpl<clang::Decl*>&)
     0.00%  GWA              libCling.so           [.] bool llvm::DenseMapBase<llvm::SmallDenseMap<void const*, llvm::ImmutablePass*, 8u, llvm::DenseMapInfo<void const*>, llvm::detail::DenseMapPair<void const*, llvm::ImmutablePass*> >, void const*, llvm::ImmutablePass*, llvm::DenseMapInfo<void const*>, llvm::detail::DenseMapPair<void const*, llvm::ImmutablePass*> >::LookupBucketFor<void const*>(void const* const&, llvm::detail::DenseMapPair<void const*, llvm::ImmutablePass*> const*&) const
     0.00%  ld-linux-x86-64  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.00%  ldd              [kernel.kallsyms]     [k] entry_SYSCALL_64
     0.00%  ld-linux-x86-64  [kernel.kallsyms]     [k] kmem_cache_free
     0.00%  GWA              libCling.so           [.] llvm::FoldingSetNodeID::AddInteger(unsigned int)
     0.00%  GWA              libCling.so           [.] TCling::IsAutoLoadNamespaceCandidate(clang::NamespaceDecl const*)
     0.00%  sh               libc.so.6             [.] __dup2
     0.00%  GWA              [kernel.kallsyms]     [k] leftmatch_fb
     0.00%  sh               [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.00%  GWA              [kernel.kallsyms]     [k] rep_movs_alternative
     0.00%  GWA              libCling.so           [.] clang::Decl::castFromDeclContext(clang::DeclContext const*)
     0.00%  GWA              libc.so.6             [.] __strncmp_avx2
     0.00%  GWA              [kernel.kallsyms]     [k] usb_hcd_is_primary_hcd
     0.00%  GWA              [kernel.kallsyms]     [k] inc_deq
     0.00%  GWA              libstdc++.so.6.0.33   [.] std::__cxx11::collate<char>::do_transform(char const*, char const*) const
     0.00%  GWA              libstdc++.so.6.0.33   [.] 0x0000000000109928
     0.00%  GWA              [kernel.kallsyms]     [k] xhci_giveback_urb_in_irq.isra.0
     0.00%  GWA              libstdc++.so.6.0.33   [.] std::locale::id::_M_id() const
     0.00%  GWA              libCore.so            [.] TObjArrayIter::Next()
     0.00%  GWA              [kernel.kallsyms]     [k] _raw_spin_rq_lock_irqsave
     0.00%  GWA              libCling.so           [.] llvm::StringMapImpl::RehashTable(unsigned int)
     0.00%  GWA              [kernel.kallsyms]     [k] _flat_send_IPI_mask
     0.00%  GWA              [kernel.kallsyms]     [k] sched_clock_tick
     0.00%  GWA              [kernel.kallsyms]     [k] _nv040009rm
     0.00%  GWA              [kernel.kallsyms]     [k] __queue_work.part.0
     0.00%  GWA              [kernel.kallsyms]     [k] xhci_queue_intr_tx
     0.00%  GWA              [kernel.kallsyms]     [k] led_trigger_blink_oneshot
     0.00%  GWA              [kernel.kallsyms]     [k] put_prev_task_fair
     0.00%  GWA              [kernel.kallsyms]     [k] input_pass_values.part.0
     0.00%  sh               [kernel.kallsyms]     [k] leftmatch_fb
     0.00%  GWA              [kernel.kallsyms]     [k] xhci_td_cleanup.isra.0
     0.00%  GWA              [kernel.kallsyms]     [k] input_get_disposition
     0.00%  GWA              [kernel.kallsyms]     [k] set_task_cpu
     0.00%  GWA              [kernel.kallsyms]     [k] __irq_wake_thread
     0.00%  GWA              [kernel.kallsyms]     [k] update_sd_pick_busiest
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000002dae
     0.00%  GWA              [kernel.kallsyms]     [k] tcp_xmit_probe_skb
     0.00%  GWA              libz.so.1.3           [.] 0x00000000000025ca
     0.00%  GWA              [kernel.kallsyms]     [k] tasklet_clear_sched
     0.00%  GWA              libCling.so           [.] llvm::sys::path::is_absolute(llvm::Twine const&, llvm::sys::path::Style)
     0.00%  GWA              [kernel.kallsyms]     [k] select_task_rq_fair
     0.00%  GWA              [kernel.kallsyms]     [k] asm_common_interrupt
     0.00%  GWA              libCling.so           [.] llvm::sys::path::const_iterator::operator++()
     0.00%  GWA              [kernel.kallsyms]     [k] ip_finish_output2
     0.00%  GWA              [kernel.kallsyms]     [k] kthread_is_per_cpu
     0.00%  GWA              [kernel.kallsyms]     [k] kfree
     0.00%  GWA              libMinuit2.so         [.] ROOT::Minuit2::inner_product(ROOT::Minuit2::LAVector const&, ROOT::Minuit2::LAVector const&)
     0.00%  GWA              [kernel.kallsyms]     [k] hrtick_update
     0.00%  GWA              libCling.so           [.] clang::serialization::ModuleManager::visit(llvm::function_ref<bool (clang::serialization::ModuleFile&)>, llvm::SmallPtrSetImpl<clang::serialization::ModuleFile*>*)
     0.00%  GWA              [kernel.kallsyms]     [k] enqueue_timer
     0.00%  GWA              [kernel.kallsyms]     [k] __pte_offset_map_lock
     0.00%  ldd              [kernel.kallsyms]     [k] vm_area_dup
     0.00%  sh               [kernel.kallsyms]     [k] next_uptodate_folio
     0.00%  sh               [kernel.kallsyms]     [k] __mod_memcg_state
     0.00%  GWA              [kernel.kallsyms]     [k] default_send_IPI_single
     0.00%  GWA              [kernel.kallsyms]     [k] execlists_irq_handler
     0.00%  GWA              [kernel.kallsyms]     [k] aa_path_perm
     0.00%  GWA              [kernel.kallsyms]     [k] put_prev_entity
     0.00%  GWA              GWA                   [.] channel::getCouplingSteps()
     0.00%  GWA              [kernel.kallsyms]     [k] _nv043258rm
     0.00%  GWA              [kernel.kallsyms]     [k] intel_pmu_enable_all
     0.00%  GWA              [kernel.kallsyms]     [k] __dequeue_entity
     0.00%  GWA              [kernel.kallsyms]     [k] dequeue_rt_stack
     0.00%  GWA              libCling.so           [.] clang::TemplateArgument::Profile(llvm::FoldingSetNodeID&, clang::ASTContext const&) const
     0.00%  GWA              libCling.so           [.] clang::ASTReader::ReadPragmaDiagnosticMappings(clang::DiagnosticsEngine&)
     0.00%  ld-linux-x86-64  [kernel.kallsyms]     [k] entry_SYSCALL_64_safe_stack
     0.00%  GWA              libCling.so           [.] llvm::FoldingSet<clang::TemplateTypeParmType>::NodeEquals(llvm::FoldingSetBase const*, llvm::FoldingSetBase::Node*, llvm::FoldingSetNodeID const&, unsigned int, llvm::FoldingSetNodeID&)
     0.00%  GWA              [kernel.kallsyms]     [k] exc_page_fault
     0.00%  GWA              libCore.so            [.] TClassTable::GetDictNorm(char const*)
     0.00%  GWA              libstdc++.so.6.0.33   [.] operator new(unsigned long)@plt
     0.00%  GWA              libCling.so           [.] clang::LookupResult::isVisibleSlow(clang::Sema&, clang::NamedDecl*)
     0.00%  GWA              libCling.so           [.] clang::ASTReader::FinishedDeserializing() [clone .part.0]
     0.00%  GWA              libCling.so           [.] clang::ASTReader::resolvePendingMacro(clang::IdentifierInfo*, clang::ASTReader::PendingMacroInfo const&)
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000002d77
     0.00%  GWA              [kernel.kallsyms]     [k] aa_audit_file
     0.00%  GWA              [kernel.kallsyms]     [k] pick_eevdf
     0.00%  GWA              [kernel.kallsyms]     [k] __update_load_avg_blocked_se
     0.00%  GWA              [kernel.kallsyms]     [k] __enqueue_entity
     0.00%  GWA              [kernel.kallsyms]     [k] gen8_gt_irq_handler
     0.00%  GWA              libCling.so           [.] clang::serialization::reader::ASTDeclContextNameLookupTrait::data_type_builder::insert(unsigned int)
     0.00%  GWA              [kernel.kallsyms]     [k] get_page_from_freelist
     0.00%  GWA              libCling.so           [.] clang::ASTContext::getTemplateSpecializationType(clang::TemplateName, llvm::ArrayRef<clang::TemplateArgument>, clang::QualType) const
     0.00%  GWA              libCore.so            [.] TClass::BuildRealData(void*, bool)
     0.00%  GWA              [kernel.kallsyms]     [k] native_send_call_func_single_ipi
     0.00%  GWA              [kernel.kallsyms]     [k] housekeeping_cpumask
     0.00%  GWA              [kernel.kallsyms]     [k] folio_add_new_anon_rmap
     0.00%  GWA              libCling.so           [.] clang::DeclContext::Encloses(clang::DeclContext const*) const
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000002600
     0.00%  GWA              GWA                   [.] std::_Function_handler<double (double const*), double (*)(double const*)>::_M_invoke(std::_Any_data const&, double const*&&)
     0.00%  GWA              GWA                   [.] ROOT::Math::Functor::DoEval(double const*) const
     0.00%  GWA              libCling.so           [.] llvm::StringMapImpl::FindKey(llvm::StringRef) const
     0.00%  GWA              libc.so.6             [.] isalnum
     0.00%  GWA              libCling.so           [.] bool llvm::function_ref<bool (clang::serialization::ModuleFile&)>::callback_fn<(anonymous namespace)::IdentifierLookupVisitor>(long, clang::serialization::ModuleFile&)
     0.00%  GWA              libCling.so           [.] clang::Parser::ParseDeclarationSpecifiers(clang::DeclSpec&, clang::Parser::ParsedTemplateInfo const&, clang::AccessSpecifier, clang::Parser::DeclSpecContext, clang::Parser::LateParsedAttrList*)
     0.00%  GWA              [kernel.kallsyms]     [k] __mt_destroy
     0.00%  GWA              libCling.so           [.] clang::serialization::BasicReaderBase<clang::ASTRecordReader>::readDeclarationName()
     0.00%  GWA              [kernel.kallsyms]     [k] native_apic_mem_eoi
     0.00%  GWA              libCling.so           [.] llvm::FoldingSetBase::GrowBucketCount(unsigned int, llvm::FoldingSetBase::FoldingSetInfo const&)
     0.00%  GWA              libstdc++.so.6.0.33   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)
     0.00%  GWA              libCling.so           [.] clang::ASTReader::loadPendingDeclChain(clang::Decl*, unsigned long)
     0.00%  GWA              libCore.so            [.] TClass::GetClass(char const*, bool, bool, unsigned long, unsigned long)
     0.00%  GWA              [kernel.kallsyms]     [k] profile_capable
     0.00%  GWA              [kernel.kallsyms]     [k] check_heap_object
     0.00%  GWA              libCling.so           [.] clang::GlobalModuleIndex::lookupIdentifier(llvm::StringRef, llvm::SmallDenseSet<llvm::StringRef, 4u, llvm::DenseMapInfo<llvm::StringRef> >&)
     0.00%  GWA              libCling.so           [.] clang::MultiplexConsumer::HandleTopLevelDecl(clang::DeclGroupRef)
     0.00%  GWA              [kernel.kallsyms]     [k] __rmqueue_pcplist
     0.00%  GWA              libCling.so           [.] llvm::sys::path::root_directory(llvm::StringRef, llvm::sys::path::Style)
     0.00%  GWA              [kernel.kallsyms]     [k] generic_permission
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000002da0
     0.00%  GWA              libCling.so           [.] llvm::FoldingSetNodeID::AddInteger(int)
     0.00%  GWA              libCore.so            [.] TCollection::GarbageCollect(TObject*)
     0.00%  GWA              [kernel.kallsyms]     [k] common_interrupt
     0.00%  GWA              libCling.so           [.] llvm::SimpleBitstreamCursor::ReadVBR64(unsigned int)
     0.00%  GWA              libCling.so           [.] clang::ASTReader::ReadVisibleDeclContextStorage(clang::serialization::ModuleFile&, llvm::BitstreamCursor&, unsigned long, unsigned int)
     0.00%  GWA              [kernel.kallsyms]     [k] do_syscall_64
     0.00%  GWA              GWA                   [.] channel::getChebySteps()
     0.00%  GWA              [kernel.kallsyms]     [k] apparmor_capable
     0.00%  GWA              libCling.so           [.] clang::CanQual<clang::Type>::CreateUnsafe(clang::QualType)
     0.00%  GWA              libCling.so           [.] memcmp@plt
     0.00%  GWA              libCling.so           [.] clang::FileManager::fillRealPathName(clang::FileEntry*, llvm::StringRef)
     0.00%  GWA              [kernel.kallsyms]     [k] free_unref_page_prepare
     0.00%  GWA              [kernel.kallsyms]     [k] security_inode_permission
     0.00%  GWA              [kernel.kallsyms]     [k] set_ptes.isra.0
     0.00%  GWA              libCling.so           [.] clang::ASTRecordReader::readRecord(llvm::BitstreamCursor&, unsigned int)
     0.00%  GWA              libCling.so           [.] clang::ASTDeclReader::findExisting(clang::NamedDecl*)
     0.00%  GWA              libCling.so           [.] llvm::raw_ostream::flush_tied_then_write(char const*, unsigned long)
     0.00%  GWA              ld-linux-x86-64.so.2  [.] strcmp
     0.00%  GWA              libCling.so           [.] llvm::BitstreamCursor::ReadAbbrevRecord()
     0.00%  GWA              libCling.so           [.] clang::TreeTransform<(anonymous namespace)::TemplateInstantiator>::TransformNestedNameSpecifierLoc(clang::NestedNameSpecifierLoc, clang::QualType, clang::NamedDecl*)
     0.00%  GWA              [kernel.kallsyms]     [k] swake_up_one
     0.00%  GWA              libCling.so           [.] clang::LookupResult::resolveKind()
     0.00%  GWA              libc.so.6             [.] realloc
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000002df2
     0.00%  GWA              libCling.so           [.] (anonymous namespace)::ItaniumMangleContextImpl::shouldMangleCXXName(clang::NamedDecl const*)
     0.00%  GWA              libCling.so           [.] llvm::sys::path::root_path(llvm::StringRef, llvm::sys::path::Style)
     0.00%  GWA              libz.so.1.3           [.] 0x0000000000002dc6
     0.00%  GWA              [kernel.kallsyms]     [k] set_pte_range
     0.00%  GWA              [kernel.kallsyms]     [k] vm_normal_page
     0.00%  GWA              libCling.so           [.] std::_Function_handler<void (clang::VisibleModuleSet::setVisible(clang::Module*, clang::SourceLocation, llvm::function_ref<void (clang::Module*)>, llvm::function_ref<void (llvm::ArrayRef<clang::Module*>, clang::Module*, llvm::StringRef)>)::Visiting), clang::VisibleModuleSet::setVisible(clang::Module*, clang::SourceLocation, llvm::function_ref<void (clang::Module*)>, llvm::function_ref<void (llvm::ArrayRef<clang::Module*>, clang::Module*, llvm::StringRef)>)::{lambda(clang::VisibleModuleSet::setVisible(clang::Module*, clang::SourceLocation, llvm::function_ref<void (clang::Module*)>, llvm::function_ref<void (llvm::ArrayRef<clang::Module*>, clang::Module*, llvm::StringRef)>)::Visiting)#1}>::_M_invoke(std::_Any_data const&, clang::VisibleModuleSet::setVisible(clang::Module*, clang::SourceLocation, llvm::function_ref<void (clang::Module*)>, llvm::function_ref<void (llvm::ArrayRef<clang::Module*>, clang::Module*, llvm::StringRef)>)::Visiting&&)
     0.00%  GWA              libCling.so           [.] clang::FunctionDecl::getNumParams() const
